Cust_Id,Calendar_Dt,Amt_LE
186715137,2019-11-04,0.32
152418025,2019-11-04,0.64
69562373,2019-11-05,26.12
175731818,2019-11-04,40.74
165892302,2019-11-04,0.20
31220765,2019-11-04,40.45
143126664,2019-11-02,0.32
175286784,2019-11-01,0.59
180133927,2019-11-04,18.37
102922885,2019-11-04,0.20
178338457,2019-11-03,0.29
176391069,2019-11-04,152.55
19810232,2019-11-02,0.02
109421244,2019-11-05,0.03
170895157,2019-11-04,0.03
178447717,2019-11-03,0.01
181882535,2019-11-02,77.00
174888734,2019-11-04,41.05
186622559,2019-11-04,3.86
100510193,2019-11-05,49.70
32874612,2019-11-04,186.22
59331964,2019-11-08,142.95
97510640,2019-11-02,11.63
94837237,2019-11-04,27.89
161144101,2019-11-04,1.28
163373490,2019-11-04,94.78
140684852,2019-11-05,0.33
177298347,2019-11-08,0.01
187713609,2019-11-06,287.83
115447081,2019-11-04,80.03
154362885,2019-11-03,39.88
115194486,2019-11-04,43.49
161386765,2019-11-04,0.03
111720638,2019-11-02,33.44
3648871,2019-11-05,14.30
28469954,2019-11-04,785.85
176565991,2019-11-04,175.63
2179000,2019-11-03,6.14
51225375,2019-11-04,181.48
154853271,2019-11-06,52.56
29134261,2019-11-04,15.40
166020648,2019-11-08,0.11
2863537,2019-11-07,0.19
145717195,2019-11-04,163.60
182084966,2019-11-08,16.09
185776722,2019-11-07,0.19
187441030,2019-11-02,101.56
183697783,2019-11-01,0.01
185393108,2019-11-04,56.64
149042650,2019-11-04,56.68
109241489,2019-11-04,0.29
123973601,2019-11-06,41.56
120087429,2019-11-04,210.39
136207926,2019-11-04,0.12
178583304,2019-11-02,114.68
24978019,2019-11-04,0.32
139005229,2019-11-02,0.10
100913953,2019-11-04,218.79
155914793,2019-11-02,156.35
114372324,2019-11-04,5.19
178184499,2019-11-05,49.06
186240678,2019-11-04,219.36
118576978,2019-11-06,0.03
181275488,2019-11-05,0.20
152104214,2019-11-04,55.34
187303262,2019-11-03,64.89
166198956,2019-11-04,0.00
187230809,2019-11-04,57.27
66667983,2019-11-02,126.11
182722010,2019-11-06,392.46
187544927,2019-11-07,13.84
159826762,2019-11-06,20.79
166639136,2019-11-04,0.00
132056475,2019-11-04,245.61
